title,artist,artist_popularity,followers
God's Plan,Drake,100,18311322
Perfect,Ed Sheeran,96,21431294
Finesse,Bruno Mars & Cardi B,91,11594549
Havana,Camila Cabello Featuring Young Thug,91,3144195
Rockstar,Post Malone Featuring 21 Savage,96,3309267
New Rules,Dua Lipa,91,2695470
Pray For Me,The Weeknd & Kendrick Lamar,95,9887773
Stir Fry,Migos,93,4750442
Meant To Be,Bebe Rexha & Florida Georgia Line,88,1564634
Bad At Love,Halsey,87,2920639
Thunder,Imagine Dragons,91,8494799
Let You Down,NF,85,840675
Love.,Kendrick Lamar Featuring Zacari,96,8354296
MotorSport,"Migos, Nicki Minaj & Cardi B",93,4750442
Him & I,G-Eazy & Halsey,89,2956794
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,89,2956794
Say Something,Justin Timberlake Featuring Chris Stapleton,88,6109359
I Fall Apart,Post Malone,96,3309267
Bartier Cardi,Cardi B Featuring 21 Savage,89,1832590
How Long,Charlie Puth,87,4047781
The Middle,"Zedd, Maren Morris & Grey",87,2577555
Shape Of You,Ed Sheeran,96,21431312
Gummo,6ix9ine,83,669537
Wolves,Selena Gomez X Marshmello,87,9010972
Feel It Still,Portugal. The Man,81,661857
Never Be The Same,Camila Cabello,91,3144201
Too Good At Goodbyes,Sam Smith,88,5179985
Mine,Bazzi,86,209584
Lights Down Low,MAX Featuring gnash,75,229946
All The Stars,Kendrick Lamar & SZA,96,8354307
Sky Walker,Miguel Featuring Travis Scott,85,1523664
Plain Jane,A$AP Ferg Featuring Nicki Minaj,82,1158376
Filthy,Justin Timberlake,88,6109359
Young Dumb & Broke,Khalid,94,1823674
Gucci Gang,Lil Pump,83,2517244
Marry Me,Thomas Rhett,81,1435029
Sorry Not Sorry,Demi Lovato,89,7723912
Outside Today,YoungBoy Never Broke Again,82,712442
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,92,2189657
I Get The Bag,Gucci Mane Featuring Migos,89,1820341
River,Eminem Featuring Ed Sheeran,93,15210059
Ric Flair Drip,Offset & Metro Boomin,87,290961
End Game,Taylor Swift Featuring Ed Sheeran & Future,91,11084649
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,87,1868593
Roll In Peace,Kodak Black Featuring XXXTENTACION,87,2744846
Walk It Talk It,Migos Featuring Drake,93,4750456
El Farsante,Ozuna & Romeo Santos,95,5964792
Narcos,Migos,93,4750456
Written In The Sand,Old Dominion,74,284495
You Make It Easy,Jason Aldean,78,2028766
Good Old Days,Macklemore Featuring Kesha,86,912590
Five More Minutes,Scotty McCreery,68,295681
Wait,Maroon 5,89,10228751
The Champion,Carrie Underwood Featuring Ludacris,74,2127707
Pick It Up,Famous Dex Featuring A$AP Rocky,79,513541
Yours,Russell Dickerson,70,77629
Broken Halos,Chris Stapleton,83,658929
New Freezer,Rich The Kid Featuring Kendrick Lamar,85,623765
Heaven,Kane Brown,77,555301
You Broke Up With Me,Walker Hayes,67,49619
This Is Me,Keala Settle & The Greatest Showman Ensemble,82,12198
Betrayed,Lil Xan,81,714296
One Foot,WALK THE MOON,75,862650
Like I Loved You,Brett Young,73,160169
Keke,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",83,669537
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",80,234494
Nowadays,Lil Skies Featuring Landon Cube,84,442628
Losing Sleep,Chris Young,74,874384
Notice Me,Migos Featuring Post Malone,93,4750459
Man Of The Woods,Justin Timberlake,88,6109363
All On Me,Devin Dawson,68,28416
Legends,Kelsea Ballerini,71,344151
No Smoke,YoungBoy Never Broke Again,82,712443
Red Roses,Lil Skies Featuring Landon Cube,84,442629
Beautiful Trauma,P!nk,84,3748920
Tell Me You Love Me,Demi Lovato,89,7723916
Candy Paint,Post Malone,96,3309278
Dura,Daddy Yankee,92,6318792
La Modelo,Ozuna x Cardi B,95,5964798
Diplomatic Immunity,Drake,100,18311360
Most People Are Good,Luke Bryan,80,2462688
Rewrite The Stars,Zac Efron & Zendaya,82,144939
Codeine Dreaming,Kodak Black Featuring Lil Wayne,87,2744848
Whatever It Takes,Imagine Dragons,91,8494808
IDGAF,Dua Lipa,91,2695487
BBO (Bad Bitches Only),Migos Featuring 21 Savage,93,4750461
Mayores,Becky G Featuring Bad Bunny,83,1910195
At The Club,Jacquees X Dej Loaf,71,725909
The Long Way,Brett Eldredge,71,540123
Singles You Up,Jordan Davis,69,13499
Criminal,Natti Natasha x Ozuna,81,275253
Sick Boy,The Chainsmokers,90,6359704
A Girl Like You,Easton Corbin,65,328953
Rock,Plies,68,546476
Supplies,Justin Timberlake,88,6109365
Believer,Imagine Dragons,91,8494808
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,90,3537868
Supastars,Migos,93,4750461
White Sand,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",93,4750461
Gang Gang,Migos,93,4750461
Auto Pilot,Migos,93,4750576
Emoji A Chain,Migos,93,4750576
Round Here Buzz,Eric Church,75,1334870
Rubbin Off The Paint,YBN Nahmir,78,433684
CC,Migos Featuring Gucci Mane,93,4750576
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",70,117403
MIC Drop,BTS Featuring Desiigner,87,3899405
What Lovers Do,Maroon 5 Featuring SZA,89,10228801
Mi Gente,J Balvin & Willy William Featuring Beyonce,95,6208524
Bank Account,21 Savage,91,3649451
Attention,Charlie Puth,87,4047856
Unforgettable,French Montana Featuring Swae Lee,87,1427034
Greatest Love Story,LANCO,69,73887
No Name,NF,85,840690
Kooda,6ix9ine,83,669581
The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",83,26337
Never Enough,Loren Allred,74,7280
My Dawg,Lil Baby,73,126395
I'll Name The Dogs,Blake Shelton,76,2973848
Female,Keith Urban,77,2060732
The Weekend,SZA,90,1302258
Silence,Marshmello Featuring Khalid,92,2402536
My My My!,Troye Sivan,80,1950989
Tequila,Dan + Shay,74,366304
Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",86,3058006
...Ready For It?,Taylor Swift,91,11084777
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,85,1954066
That's What I Like,Bruno Mars,91,11594682
I Could Use A Love Song,Maren Morris,85,169216
